sectperf;unit;geo;time;values
Higher education sector;Percentage of gross domestic product (GDP);Turkey;2003-01-01;0.31
Higher education sector;Percentage of gross domestic product (GDP);United Kingdom;2003-01-01;0.38
Higher education sector;Percentage of gross domestic product (GDP);United States;2003-01-01;0.37
Private non-profit sector;Percentage of gross domestic product (GDP);Belgium;2003-01-01;0.02
Private non-profit sector;Percentage of gross domestic product (GDP);Bulgaria;2003-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Cyprus;2003-01-01;0.02
Private non-profit sector;Percentage of gross domestic product (GDP);Czechia;2003-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Germany (until 1990 former territory of the FRG);2003-01-01;NA
Private non-profit sector;Percentage of gross domestic product (GDP);Denmark;2003-01-01;0.02
Private non-profit sector;Percentage of gross domestic product (GDP);Euro area (19 countries);2003-01-01;0.01
Private non-profit sector;Percentage of gross domestic product (GDP);Estonia;2003-01-01;0.02
Private non-profit sector;Percentage of gross domestic product (GDP);Greece;2003-01-01;0.01
Private non-profit sector;Percentage of gross domestic product (GDP);Spain;2003-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);European Union (current composition);2003-01-01;0.01
Private non-profit sector;Percentage of gross domestic product (GDP);Finland;2003-01-01;0.02
Private non-profit sector;Percentage of gross domestic product (GDP);France;2003-01-01;0.03
Private non-profit sector;Percentage of gross domestic product (GDP);Iceland;2003-01-01;0.06
Private non-profit sector;Percentage of gross domestic product (GDP);Italy;2003-01-01;0.02
Private non-profit sector;Percentage of gross domestic product (GDP);Japan;2003-01-01;0.06
Private non-profit sector;Percentage of gross domestic product (GDP);South Korea;2003-01-01;0.03
Private non-profit sector;Percentage of gross domestic product (GDP);Latvia;2003-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Malta;2003-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Netherlands;2003-01-01;NA
Private non-profit sector;Percentage of gross domestic product (GDP);Poland;2003-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Portugal;2003-01-01;0.08
Private non-profit sector;Percentage of gross domestic product (GDP);Romania;2003-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Russia;2003-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Sweden;2003-01-01;0.01
Private non-profit sector;Percentage of gross domestic product (GDP);Slovenia;2003-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Slovakia;2003-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);United Kingdom;2003-01-01;0.03
Private non-profit sector;Percentage of gross domestic product (GDP);United States;2003-01-01;0.12
All sectors;Percentage of gross domestic product (GDP);Austria;2003-01-01;2.17
All sectors;Percentage of gross domestic product (GDP);Belgium;2003-01-01;1.83
All sectors;Percentage of gross domestic product (GDP);Bulgaria;2003-01-01;0.48
All sectors;Percentage of gross domestic product (GDP);Cyprus;2003-01-01;0.32
All sectors;Percentage of gross domestic product (GDP);Czechia;2003-01-01;1.15
All sectors;Percentage of gross domestic product (GDP);Germany (until 1990 former territory of the FRG);2003-01-01;2.47
All sectors;Percentage of gross domestic product (GDP);Denmark;2003-01-01;2.51
All sectors;Percentage of gross domestic product (GDP);Euro area (19 countries);2003-01-01;1.81
All sectors;Percentage of gross domestic product (GDP);Estonia;2003-01-01;0.77
All sectors;Percentage of gross domestic product (GDP);Greece;2003-01-01;0.55
All sectors;Percentage of gross domestic product (GDP);Spain;2003-01-01;1.02
All sectors;Percentage of gross domestic product (GDP);European Union (current composition);2003-01-01;1.79
All sectors;Percentage of gross domestic product (GDP);Finland;2003-01-01;3.3
All sectors;Percentage of gross domestic product (GDP);France;2003-01-01;2.12
All sectors;Percentage of gross domestic product (GDP);Croatia;2003-01-01;0.95
All sectors;Percentage of gross domestic product (GDP);Hungary;2003-01-01;0.92
All sectors;Percentage of gross domestic product (GDP);Ireland;2003-01-01;1.12
All sectors;Percentage of gross domestic product (GDP);Iceland;2003-01-01;2.71
All sectors;Percentage of gross domestic product (GDP);Italy;2003-01-01;1.06
All sectors;Percentage of gross domestic product (GDP);Japan;2003-01-01;3.04
All sectors;Percentage of gross domestic product (GDP);South Korea;2003-01-01;2.35
All sectors;Percentage of gross domestic product (GDP);Lithuania;2003-01-01;0.66
All sectors;Percentage of gross domestic product (GDP);Luxembourg;2003-01-01;1.63
All sectors;Percentage of gross domestic product (GDP);Latvia;2003-01-01;0.36
All sectors;Percentage of gross domestic product (GDP);Malta;2003-01-01;0.24
All sectors;Percentage of gross domestic product (GDP);Netherlands;2003-01-01;1.78
All sectors;Percentage of gross domestic product (GDP);Norway;2003-01-01;1.68
All sectors;Percentage of gross domestic product (GDP);Poland;2003-01-01;0.54
All sectors;Percentage of gross domestic product (GDP);Portugal;2003-01-01;0.7
All sectors;Percentage of gross domestic product (GDP);Romania;2003-01-01;0.38
All sectors;Percentage of gross domestic product (GDP);Russia;2003-01-01;1.19
All sectors;Percentage of gross domestic product (GDP);Sweden;2003-01-01;3.61
All sectors;Percentage of gross domestic product (GDP);Slovenia;2003-01-01;1.25
All sectors;Percentage of gross domestic product (GDP);Slovakia;2003-01-01;0.56
All sectors;Percentage of gross domestic product (GDP);Turkey;2003-01-01;0.47
All sectors;Percentage of gross domestic product (GDP);United Kingdom;2003-01-01;1.59
All sectors;Percentage of gross domestic product (GDP);United States;2003-01-01;2.56
Business enterprise sector;Percentage of gross domestic product (GDP);Austria;2004-01-01;1.47
Business enterprise sector;Percentage of gross domestic product (GDP);Belgium;2004-01-01;1.25
Business enterprise sector;Percentage of gross domestic product (GDP);Bulgaria;2004-01-01;0.11
Business enterprise sector;Percentage of gross domestic product (GDP);Switzerland;2004-01-01;1.97
Business enterprise sector;Percentage of gross domestic product (GDP);Cyprus;2004-01-01;0.07
Business enterprise sector;Percentage of gross domestic product (GDP);Czechia;2004-01-01;0.72
Business enterprise sector;Percentage of gross domestic product (GDP);Germany (until 1990 former territory of the FRG);2004-01-01;1.69
Business enterprise sector;Percentage of gross domestic product (GDP);Denmark;2004-01-01;1.65
Business enterprise sector;Percentage of gross domestic product (GDP);Euro area (19 countries);2004-01-01;1.13
Business enterprise sector;Percentage of gross domestic product (GDP);Estonia;2004-01-01;0.33
Business enterprise sector;Percentage of gross domestic product (GDP);Greece;2004-01-01;0.16
Business enterprise sector;Percentage of gross domestic product (GDP);Spain;2004-01-01;0.56
Business enterprise sector;Percentage of gross domestic product (GDP);European Union (current composition);2004-01-01;1.11
Business enterprise sector;Percentage of gross domestic product (GDP);Finland;2004-01-01;2.32
Business enterprise sector;Percentage of gross domestic product (GDP);France;2004-01-01;1.32
Business enterprise sector;Percentage of gross domestic product (GDP);Croatia;2004-01-01;0.43
Business enterprise sector;Percentage of gross domestic product (GDP);Hungary;2004-01-01;0.35
Business enterprise sector;Percentage of gross domestic product (GDP);Ireland;2004-01-01;0.77
Business enterprise sector;Percentage of gross domestic product (GDP);Italy;2004-01-01;0.5
Business enterprise sector;Percentage of gross domestic product (GDP);Japan;2004-01-01;2.28
Business enterprise sector;Percentage of gross domestic product (GDP);South Korea;2004-01-01;1.94
Business enterprise sector;Percentage of gross domestic product (GDP);Lithuania;2004-01-01;0.16
Business enterprise sector;Percentage of gross domestic product (GDP);Luxembourg;2004-01-01;1.41
Business enterprise sector;Percentage of gross domestic product (GDP);Latvia;2004-01-01;0.18
Business enterprise sector;Percentage of gross domestic product (GDP);Malta;2004-01-01;0.33
Business enterprise sector;Percentage of gross domestic product (GDP);Netherlands;2004-01-01;0.96
Business enterprise sector;Percentage of gross domestic product (GDP);Norway;2004-01-01;0.84
Business enterprise sector;Percentage of gross domestic product (GDP);Poland;2004-01-01;0.16
Business enterprise sector;Percentage of gross domestic product (GDP);Portugal;2004-01-01;0.26
Business enterprise sector;Percentage of gross domestic product (GDP);Romania;2004-01-01;0.21
Business enterprise sector;Percentage of gross domestic product (GDP);Russia;2004-01-01;0.74
Business enterprise sector;Percentage of gross domestic product (GDP);Sweden;2004-01-01;2.49
Business enterprise sector;Percentage of gross domestic product (GDP);Slovenia;2004-01-01;0.92
Business enterprise sector;Percentage of gross domestic product (GDP);Slovakia;2004-01-01;0.25
Business enterprise sector;Percentage of gross domestic product (GDP);Turkey;2004-01-01;0.12
Business enterprise sector;Percentage of gross domestic product (GDP);United Kingdom;2004-01-01;0.96
Business enterprise sector;Percentage of gross domestic product (GDP);United States;2004-01-01;1.71
Government sector;Percentage of gross domestic product (GDP);Austria;2004-01-01;0.11
Government sector;Percentage of gross domestic product (GDP);Belgium;2004-01-01;0.14
Government sector;Percentage of gross domestic product (GDP);Bulgaria;2004-01-01;0.32
Government sector;Percentage of gross domestic product (GDP);Switzerland;2004-01-01;0.03
Government sector;Percentage of gross domestic product (GDP);Cyprus;2004-01-01;0.12
Government sector;Percentage of gross domestic product (GDP);Czechia;2004-01-01;0.26
Government sector;Percentage of gross domestic product (GDP);Germany (until 1990 former territory of the FRG);2004-01-01;0.33
Government sector;Percentage of gross domestic product (GDP);Denmark;2004-01-01;0.17
Government sector;Percentage of gross domestic product (GDP);Euro area (19 countries);2004-01-01;0.26
Government sector;Percentage of gross domestic product (GDP);Estonia;2004-01-01;0.11
Government sector;Percentage of gross domestic product (GDP);Greece;2004-01-01;0.1
Government sector;Percentage of gross domestic product (GDP);Spain;2004-01-01;0.17
Government sector;Percentage of gross domestic product (GDP);European Union (current composition);2004-01-01;0.23
Government sector;Percentage of gross domestic product (GDP);Finland;2004-01-01;0.31
Government sector;Percentage of gross domestic product (GDP);France;2004-01-01;0.36
Government sector;Percentage of gross domestic product (GDP);Croatia;2004-01-01;0.22
Government sector;Percentage of gross domestic product (GDP);Hungary;2004-01-01;0.25
Government sector;Percentage of gross domestic product (GDP);Ireland;2004-01-01;0.09
Government sector;Percentage of gross domestic product (GDP);Italy;2004-01-01;0.19
Government sector;Percentage of gross domestic product (GDP);Japan;2004-01-01;0.29
Government sector;Percentage of gross domestic product (GDP);South Korea;2004-01-01;0.31
Government sector;Percentage of gross domestic product (GDP);Lithuania;2004-01-01;0.19
Government sector;Percentage of gross domestic product (GDP);Luxembourg;2004-01-01;0.18
Government sector;Percentage of gross domestic product (GDP);Latvia;2004-01-01;0.08
Government sector;Percentage of gross domestic product (GDP);Malta;2004-01-01;0.01
Government sector;Percentage of gross domestic product (GDP);Netherlands;2004-01-01;0.24
Government sector;Percentage of gross domestic product (GDP);Norway;2004-01-01;0.24
Government sector;Percentage of gross domestic product (GDP);Poland;2004-01-01;0.22
Government sector;Percentage of gross domestic product (GDP);Portugal;2004-01-01;0.11
Government sector;Percentage of gross domestic product (GDP);Romania;2004-01-01;0.13
Government sector;Percentage of gross domestic product (GDP);Russia;2004-01-01;0.27
Government sector;Percentage of gross domestic product (GDP);Sweden;2004-01-01;0.11
Government sector;Percentage of gross domestic product (GDP);Slovenia;2004-01-01;0.27
Government sector;Percentage of gross domestic product (GDP);Slovakia;2004-01-01;0.15
Government sector;Percentage of gross domestic product (GDP);Turkey;2004-01-01;0.04
Government sector;Percentage of gross domestic product (GDP);United Kingdom;2004-01-01;0.17
Government sector;Percentage of gross domestic product (GDP);United States;2004-01-01;0.32
Higher education sector;Percentage of gross domestic product (GDP);Austria;2004-01-01;0.58
Higher education sector;Percentage of gross domestic product (GDP);Belgium;2004-01-01;0.39
Higher education sector;Percentage of gross domestic product (GDP);Bulgaria;2004-01-01;0.04
Higher education sector;Percentage of gross domestic product (GDP);Switzerland;2004-01-01;0.61
Higher education sector;Percentage of gross domestic product (GDP);Cyprus;2004-01-01;0.12
Higher education sector;Percentage of gross domestic product (GDP);Czechia;2004-01-01;0.17
Higher education sector;Percentage of gross domestic product (GDP);Germany (until 1990 former territory of the FRG);2004-01-01;0.41
Higher education sector;Percentage of gross domestic product (GDP);Denmark;2004-01-01;0.59
Higher education sector;Percentage of gross domestic product (GDP);Euro area (19 countries);2004-01-01;0.39
Higher education sector;Percentage of gross domestic product (GDP);Estonia;2004-01-01;0.39
Higher education sector;Percentage of gross domestic product (GDP);Greece;2004-01-01;0.25
Higher education sector;Percentage of gross domestic product (GDP);Spain;2004-01-01;0.31
Higher education sector;Percentage of gross domestic product (GDP);European Union (current composition);2004-01-01;0.39
Higher education sector;Percentage of gross domestic product (GDP);Finland;2004-01-01;0.66
Higher education sector;Percentage of gross domestic product (GDP);France;2004-01-01;0.39
Higher education sector;Percentage of gross domestic product (GDP);Croatia;2004-01-01;0.39
Higher education sector;Percentage of gross domestic product (GDP);Hungary;2004-01-01;0.21
Higher education sector;Percentage of gross domestic product (GDP);Ireland;2004-01-01;0.32
Higher education sector;Percentage of gross domestic product (GDP);Italy;2004-01-01;0.35
Higher education sector;Percentage of gross domestic product (GDP);Japan;2004-01-01;0.41
Higher education sector;Percentage of gross domestic product (GDP);South Korea;2004-01-01;0.25
Higher education sector;Percentage of gross domestic product (GDP);Lithuania;2004-01-01;0.4
Higher education sector;Percentage of gross domestic product (GDP);Luxembourg;2004-01-01;0.02
Higher education sector;Percentage of gross domestic product (GDP);Latvia;2004-01-01;0.14
Higher education sector;Percentage of gross domestic product (GDP);Malta;2004-01-01;0.15
Higher education sector;Percentage of gross domestic product (GDP);Netherlands;2004-01-01;0.59
Higher education sector;Percentage of gross domestic product (GDP);Norway;2004-01-01;0.46
Higher education sector;Percentage of gross domestic product (GDP);Poland;2004-01-01;0.18
Higher education sector;Percentage of gross domestic product (GDP);Portugal;2004-01-01;0.27
Higher education sector;Percentage of gross domestic product (GDP);Romania;2004-01-01;0.04
Higher education sector;Percentage of gross domestic product (GDP);Russia;2004-01-01;0.06
Higher education sector;Percentage of gross domestic product (GDP);Sweden;2004-01-01;0.78
Higher education sector;Percentage of gross domestic product (GDP);Slovenia;2004-01-01;0.18
Higher education sector;Percentage of gross domestic product (GDP);Slovakia;2004-01-01;0.1
Higher education sector;Percentage of gross domestic product (GDP);Turkey;2004-01-01;0.34
Higher education sector;Percentage of gross domestic product (GDP);United Kingdom;2004-01-01;0.38
Higher education sector;Percentage of gross domestic product (GDP);United States;2004-01-01;0.37
Private non-profit sector;Percentage of gross domestic product (GDP);Austria;2004-01-01;0.01
Private non-profit sector;Percentage of gross domestic product (GDP);Belgium;2004-01-01;0.03
Private non-profit sector;Percentage of gross domestic product (GDP);Bulgaria;2004-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Switzerland;2004-01-01;0.06
Private non-profit sector;Percentage of gross domestic product (GDP);Cyprus;2004-01-01;0.02
Private non-profit sector;Percentage of gross domestic product (GDP);Czechia;2004-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Germany (until 1990 former territory of the FRG);2004-01-01;NA
Private non-profit sector;Percentage of gross domestic product (GDP);Denmark;2004-01-01;0.02
Private non-profit sector;Percentage of gross domestic product (GDP);Euro area (19 countries);2004-01-01;0.01
Private non-profit sector;Percentage of gross domestic product (GDP);Estonia;2004-01-01;0.02
Private non-profit sector;Percentage of gross domestic product (GDP);Greece;2004-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Spain;2004-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);European Union (current composition);2004-01-01;0.02
Private non-profit sector;Percentage of gross domestic product (GDP);Finland;2004-01-01;0.02
Private non-profit sector;Percentage of gross domestic product (GDP);France;2004-01-01;0.03
Private non-profit sector;Percentage of gross domestic product (GDP);Italy;2004-01-01;0.02
Private non-profit sector;Percentage of gross domestic product (GDP);Japan;2004-01-01;0.06
Private non-profit sector;Percentage of gross domestic product (GDP);South Korea;2004-01-01;0.03
Private non-profit sector;Percentage of gross domestic product (GDP);Latvia;2004-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Malta;2004-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Netherlands;2004-01-01;NA
Private non-profit sector;Percentage of gross domestic product (GDP);Poland;2004-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Portugal;2004-01-01;0.08
Private non-profit sector;Percentage of gross domestic product (GDP);Romania;2004-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Russia;2004-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Sweden;2004-01-01;0.01
Private non-profit sector;Percentage of gross domestic product (GDP);Slovenia;2004-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);Slovakia;2004-01-01;0
Private non-profit sector;Percentage of gross domestic product (GDP);United Kingdom;2004-01-01;0.03
Private non-profit sector;Percentage of gross domestic product (GDP);United States;2004-01-01;0.11
All sectors;Percentage of gross domestic product (GDP);Austria;2004-01-01;2.17
All sectors;Percentage of gross domestic product (GDP);Belgium;2004-01-01;1.81
All sectors;Percentage of gross domestic product (GDP);Bulgaria;2004-01-01;0.47
All sectors;Percentage of gross domestic product (GDP);Switzerland;2004-01-01;2.67
All sectors;Percentage of gross domestic product (GDP);Cyprus;2004-01-01;0.34
All sectors;Percentage of gross domestic product (GDP);Czechia;2004-01-01;1.15
All sectors;Percentage of gross domestic product (GDP);Germany (until 1990 former territory of the FRG);2004-01-01;2.43
All sectors;Percentage of gross domestic product (GDP);Denmark;2004-01-01;2.42
All sectors;Percentage of gross domestic product (GDP);Euro area (19 countries);2004-01-01;1.78
All sectors;Percentage of gross domestic product (GDP);Estonia;2004-01-01;0.85
All sectors;Percentage of gross domestic product (GDP);Greece;2004-01-01;0.53
All sectors;Percentage of gross domestic product (GDP);Spain;2004-01-01;1.04
All sectors;Percentage of gross domestic product (GDP);European Union (current composition);2004-01-01;1.75
All sectors;Percentage of gross domestic product (GDP);Finland;2004-01-01;3.31
All sectors;Percentage of gross domestic product (GDP);France;2004-01-01;2.09
All sectors;Percentage of gross domestic product (GDP);Croatia;2004-01-01;1.03
All sectors;Percentage of gross domestic product (GDP);Hungary;2004-01-01;0.86
All sectors;Percentage of gross domestic product (GDP);Ireland;2004-01-01;1.18
All sectors;Percentage of gross domestic product (GDP);Italy;2004-01-01;1.05
All sectors;Percentage of gross domestic product (GDP);Japan;2004-01-01;3.03
All sectors;Percentage of gross domestic product (GDP);South Korea;2004-01-01;2.53
All sectors;Percentage of gross domestic product (GDP);Lithuania;2004-01-01;0.75
All sectors;Percentage of gross domestic product (GDP);Luxembourg;2004-01-01;1.6
All sectors;Percentage of gross domestic product (GDP);Latvia;2004-01-01;0.4
All sectors;Percentage of gross domestic product (GDP);Malta;2004-01-01;0.49
All sectors;Percentage of gross domestic product (GDP);Netherlands;2004-01-01;1.79
All sectors;Percentage of gross domestic product (GDP);Norway;2004-01-01;1.55
All sectors;Percentage of gross domestic product (GDP);Poland;2004-01-01;0.55
All sectors;Percentage of gross domestic product (GDP);Portugal;2004-01-01;0.73
All sectors;Percentage of gross domestic product (GDP);Romania;2004-01-01;0.38
All sectors;Percentage of gross domestic product (GDP);Russia;2004-01-01;1.07
All sectors;Percentage of gross domestic product (GDP);Sweden;2004-01-01;3.39
All sectors;Percentage of gross domestic product (GDP);Slovenia;2004-01-01;1.37
All sectors;Percentage of gross domestic product (GDP);Slovakia;2004-01-01;0.5
All sectors;Percentage of gross domestic product (GDP);Turkey;2004-01-01;0.5
All sectors;Percentage of gross domestic product (GDP);United Kingdom;2004-01-01;1.54
All sectors;Percentage of gross domestic product (GDP);United States;2004-01-01;2.5
Business enterprise sector;Percentage of gross domestic product (GDP);Austria;2005-01-01;1.66
Business enterprise sector;Percentage of gross domestic product (GDP);Belgium;2005-01-01;1.21
Business enterprise sector;Percentage of gross domestic product (GDP);Bulgaria;2005-01-01;0.1
Business enterprise sector;Percentage of gross domestic product (GDP);Cyprus;2005-01-01;0.08
Business enterprise sector;Percentage of gross domestic product (GDP);Czechia;2005-01-01;0.68
Business enterprise sector;Percentage of gross domestic product (GDP);Germany (until 1990 former territory of the FRG);2005-01-01;1.68
Business enterprise sector;Percentage of gross domestic product (GDP);Denmark;2005-01-01;1.63
Business enterprise sector;Percentage of gross domestic product (GDP);Euro area (19 countries);2005-01-01;1.12
Business enterprise sector;Percentage of gross domestic product (GDP);Estonia;2005-01-01;0.42
Business enterprise sector;Percentage of gross domestic product (GDP);Greece;2005-01-01;0.18
Business enterprise sector;Percentage of gross domestic product (GDP);Spain;2005-01-01;0.59
Business enterprise sector;Percentage of gross domestic product (GDP);European Union (current composition);2005-01-01;1.1
Business enterprise sector;Percentage of gross domestic product (GDP);Finland;2005-01-01;2.36
Business enterprise sector;Percentage of gross domestic product (GDP);France;2005-01-01;1.27
Business enterprise sector;Percentage of gross domestic product (GDP);Croatia;2005-01-01;0.35
Business enterprise sector;Percentage of gross domestic product (GDP);Hungary;2005-01-01;0.4
Business enterprise sector;Percentage of gross domestic product (GDP);Ireland;2005-01-01;0.78
Business enterprise sector;Percentage of gross domestic product (GDP);Iceland;2005-01-01;1.38
Business enterprise sector;Percentage of gross domestic product (GDP);Italy;2005-01-01;0.53
Business enterprise sector;Percentage of gross domestic product (GDP);Japan;2005-01-01;2.43
Business enterprise sector;Percentage of gross domestic product (GDP);South Korea;2005-01-01;2.02
Business enterprise sector;Percentage of gross domestic product (GDP);Lithuania;2005-01-01;0.15
Business enterprise sector;Percentage of gross domestic product (GDP);Luxembourg;2005-01-01;1.36
Business enterprise sector;Percentage of gross domestic product (GDP);Latvia;2005-01-01;0.22
Business enterprise sector;Percentage of gross domestic product (GDP);Malta;2005-01-01;0.35
Business enterprise sector;Percentage of gross domestic product (GDP);Netherlands;2005-01-01;0.94
Business enterprise sector;Percentage of gross domestic product (GDP);Norway;2005-01-01;0.79
Business enterprise sector;Percentage of gross domestic product (GDP);Poland;2005-01-01;0.18
Business enterprise sector;Percentage of gross domestic product (GDP);Portugal;2005-01-01;0.29
Business enterprise sector;Percentage of gross domestic product (GDP);Romania;2005-01-01;0.2
Business enterprise sector;Percentage of gross domestic product (GDP);Russia;2005-01-01;0.67
Business enterprise sector;Percentage of gross domestic product (GDP);Sweden;2005-01-01;2.46
Business enterprise sector;Percentage of gross domestic product (GDP);Slovenia;2005-01-01;0.83
Business enterprise sector;Percentage of gross domestic product (GDP);Slovakia;2005-01-01;0.25
Business enterprise sector;Percentage of gross domestic product (GDP);Turkey;2005-01-01;0.19
Business enterprise sector;Percentage of gross domestic product (GDP);United Kingdom;2005-01-01;0.96
Business enterprise sector;Percentage of gross domestic product (GDP);United States;2005-01-01;1.73
Government sector;Percentage of gross domestic product (GDP);Austria;2005-01-01;0.12
Government sector;Percentage of gross domestic product (GDP);Belgium;2005-01-01;0.15
Government sector;Percentage of gross domestic product (GDP);Bulgaria;2005-01-01;0.3
Government sector;Percentage of gross domestic product (GDP);Cyprus;2005-01-01;0.12
Government sector;Percentage of gross domestic product (GDP);Czechia;2005-01-01;0.27
Government sector;Percentage of gross domestic product (GDP);Germany (until 1990 former territory of the FRG);2005-01-01;0.34
Government sector;Percentage of gross domestic product (GDP);Denmark;2005-01-01;0.15
Government sector;Percentage of gross domestic product (GDP);Euro area (19 countries);2005-01-01;0.26
Government sector;Percentage of gross domestic product (GDP);Estonia;2005-01-01;0.1
Government sector;Percentage of gross domestic product (GDP);Greece;2005-01-01;0.12
Government sector;Percentage of gross domestic product (GDP);Spain;2005-01-01;0.19
Government sector;Percentage of gross domestic product (GDP);European Union (current composition);2005-01-01;0.24
Government sector;Percentage of gross domestic product (GDP);Finland;2005-01-01;0.32
Government sector;Percentage of gross domestic product (GDP);France;2005-01-01;0.36
Government sector;Percentage of gross domestic product (GDP);Croatia;2005-01-01;0.21
Government sector;Percentage of gross domestic product (GDP);Hungary;2005-01-01;0.26
Government sector;Percentage of gross domestic product (GDP);Ireland;2005-01-01;0.09
Government sector;Percentage of gross domestic product (GDP);Iceland;2005-01-01;0.63
Government sector;Percentage of gross domestic product (GDP);Italy;2005-01-01;0.18
Government sector;Percentage of gross domestic product (GDP);Japan;2005-01-01;0.26
Government sector;Percentage of gross domestic product (GDP);South Korea;2005-01-01;0.31
Government sector;Percentage of gross domestic product (GDP);Lithuania;2005-01-01;0.19
Government sector;Percentage of gross domestic product (GDP);Luxembourg;2005-01-01;0.19
Government sector;Percentage of gross domestic product (GDP);Latvia;2005-01-01;0.1
Government sector;Percentage of gross domestic product (GDP);Malta;2005-01-01;0.03
Government sector;Percentage of gross domestic product (GDP);Netherlands;2005-01-01;0.22
Government sector;Percentage of gross domestic product (GDP);Norway;2005-01-01;0.23
Government sector;Percentage of gross domestic product (GDP);Poland;2005-01-01;0.2
Government sector;Percentage of gross domestic product (GDP);Portugal;2005-01-01;0.11
Government sector;Percentage of gross domestic product (GDP);Romania;2005-01-01;0.14
Government sector;Percentage of gross domestic product (GDP);Russia;2005-01-01;0.26
Government sector;Percentage of gross domestic product (GDP);Sweden;2005-01-01;0.17
Government sector;Percentage of gross domestic product (GDP);Slovenia;2005-01-01;0.34
Government sector;Percentage of gross domestic product (GDP);Slovakia;2005-01-01;0.15
Government sector;Percentage of gross domestic product (GDP);Turkey;2005-01-01;0.07
Government sector;Percentage of gross domestic product (GDP);United Kingdom;2005-01-01;0.16
Government sector;Percentage of gross domestic product (GDP);United States;2005-01-01;0.31
Higher education sector;Percentage of gross domestic product (GDP);Austria;2005-01-01;0.59
Higher education sector;Percentage of gross domestic product (GDP);Belgium;2005-01-01;0.4
Higher education sector;Percentage of gross domestic product (GDP);Bulgaria;2005-01-01;0.05
Higher education sector;Percentage of gross domestic product (GDP);Cyprus;2005-01-01;0.14
Higher education sector;Percentage of gross domestic product (GDP);Czechia;2005-01-01;0.22
Higher education sector;Percentage of gross domestic product (GDP);Germany (until 1990 former territory of the FRG);2005-01-01;0.41
Higher education sector;Percentage of gross domestic product (GDP);Denmark;2005-01-01;0.59
Higher education sector;Percentage of gross domestic product (GDP);Euro area (19 countries);2005-01-01;0.39
Higher education sector;Percentage of gross domestic product (GDP);Estonia;2005-01-01;0.38
Higher education sector;Percentage of gross domestic product (GDP);Greece;2005-01-01;0.27
Higher education sector;Percentage of gross domestic product (GDP);Spain;2005-01-01;0.32
Higher education sector;Percentage of gross domestic product (GDP);European Union (current composition);2005-01-01;0.39
Higher education sector;Percentage of gross domestic product (GDP);Finland;2005-01-01;0.63
Higher education sector;Percentage of gross domestic product (GDP);France;2005-01-01;0.39
Higher education sector;Percentage of gross domestic product (GDP);Croatia;2005-01-01;0.3
Higher education sector;Percentage of gross domestic product (GDP);Hungary;2005-01-01;0.23
Higher education sector;Percentage of gross domestic product (GDP);Ireland;2005-01-01;0.32
Higher education sector;Percentage of gross domestic product (GDP);Iceland;2005-01-01;0.59
Higher education sector;Percentage of gross domestic product (GDP);Italy;2005-01-01;0.32
Higher education sector;Percentage of gross domestic product (GDP);Japan;2005-01-01;0.43
Higher education sector;Percentage of gross domestic product (GDP);South Korea;2005-01-01;0.26
Higher education sector;Percentage of gross domestic product (GDP);Lithuania;2005-01-01;0.41
Higher education sector;Percentage of gross domestic product (GDP);Luxembourg;2005-01-01;0.02
Higher education sector;Percentage of gross domestic product (GDP);Latvia;2005-01-01;0.21
Higher education sector;Percentage of gross domestic product (GDP);Malta;2005-01-01;0.15
Higher education sector;Percentage of gross domestic product (GDP);Netherlands;2005-01-01;0.61
Higher education sector;Percentage of gross domestic product (GDP);Norway;2005-01-01;0.46
Higher education sector;Percentage of gross domestic product (GDP);Poland;2005-01-01;0.18
Higher education sector;Percentage of gross domestic product (GDP);Portugal;2005-01-01;0.27
Higher education sector;Percentage of gross domestic product (GDP);Romania;2005-01-01;0.06
Higher education sector;Percentage of gross domestic product (GDP);Russia;2005-01-01;0.06
Higher education sector;Percentage of gross domestic product (GDP);Sweden;2005-01-01;0.74
Higher education sector;Percentage of gross domestic product (GDP);Slovenia;2005-01-01;0.24
Higher education sector;Percentage of gross domestic product (GDP);Slovakia;2005-01-01;0.1
Higher education sector;Percentage of gross domestic product (GDP);Turkey;2005-01-01;0.31
